행정구역,2020년04월_총인구수,Column1
서울특별시 성북구 길음제1동(1129066000),36708,
서울특별시 성북구 길음제2동(1129068500),17090,
서울특별시 성북구 종암동(1129070500),40034,
서울특별시 성북구 월곡제1동(1129071500),27139,
서울특별시 성북구 월곡제2동(1129072500),20161,
서울특별시 성북구 장위제1동(1129076000),20336,
서울특별시 성북구 장위제2동(1129077000),13898,
서울특별시 성북구 장위제3동(1129078000),17916,
서울특별시 성북구 석관동(1129081000),35789,
서울특별시 강북구 (1130500000),312691,
서울특별시 강북구 삼양동(1130553400),25100,
서울특별시 강북구 미아동(1130553500),22263,
서울특별시 강북구 송중동(1130554500),30682,
서울특별시 강북구 송천동(1130555500),27898,
서울특별시 강북구 삼각산동(1130557500),32533,
서울특별시 강북구 번1동(1130559500),19246,
서울특별시 강북구 번2동(1130560300),16890,
서울특별시 강북구 번3동(1130560800),17993,
서울특별시 강북구 수유1동(1130561500),21461,
서울특별시 강북구 수유2동(1130562500),21724,
서울특별시 강북구 수유3동(1130563500),23731,
서울특별시 강북구 우이동(1130564500),21115,
서울특별시 강북구 인수동(1130566000),32055,
서울특별시 도봉구 (1132000000),330707,
서울특별시 도봉구 창제1동(1132051100),25843,
서울특별시 도봉구 창제2동(1132051200),30095,
서울특별시 도봉구 창제3동(1132051300),14530,
서울특별시 도봉구 창제4동(1132051400),27553,
서울특별시 도봉구 창제5동(1132051500),25517,
서울특별시 도봉구 도봉제1동(1132052100),21896,
서울특별시 도봉구 도봉제2동(1132052200),28351,
서울특별시 도봉구 쌍문제1동(1132066000),22027,
서울특별시 도봉구 쌍문제2동(1132067000),19673,
서울특별시 도봉구 쌍문제3동(1132068000),17007,
서울특별시 도봉구 쌍문제4동(1132068100),19607,
서울특별시 도봉구 방학제1동(1132069000),29467,
서울특별시 도봉구 방학제2동(1132070000),20779,
서울특별시 도봉구 방학제3동(1132071000),28362,
서울특별시 노원구 (1135000000),530302,
서울특별시 노원구 월계1동(1135056000),23025,
서울특별시 노원구 월계2동(1135057000),27835,
서울특별시 노원구 월계3동(1135058000),31123,
서울특별시 노원구 공릉1동(1135059500),38103,
서울특별시 노원구 공릉2동(1135060000),40049,
서울특별시 노원구 하계1동(1135061100),28082,
서울특별시 노원구 하계2동(1135061200),23039,
서울특별시 노원구 중계본동(1135061900),25572,
서울특별시 노원구 중계1동(1135062100),27756,
서울특별시 노원구 중계4동(1135062400),21019,
서울특별시 노원구 중계2.3동(1135062500),36159,
서울특별시 노원구 상계1동(1135063000),39735,
서울특별시 노원구 상계2동(1135064000),20863,
서울특별시 노원구 상계3.4동(1135066500),27321,
서울특별시 노원구 상계5동(1135067000),24992,
서울특별시 노원구 상계6.7동(1135069500),34143,
서울특별시 노원구 상계8동(1135070000),23502,
서울특별시 노원구 상계9동(1135071000),21591,
서울특별시 노원구 상계10동(1135072000),16393,
서울특별시 은평구 (1138000000),477973,
서울특별시 은평구 녹번동(1138051000),37970,
서울특별시 은평구 불광제1동(1138052000),40281,
서울특별시 은평구 불광제2동(1138053000),28944,
서울특별시 은평구 갈현제1동(1138055100),23923,
서울특별시 은평구 갈현제2동(1138055200),29522,
서울특별시 은평구 구산동(1138056000),33349,
서울특별시 은평구 대조동(1138057000),27377,
서울특별시 은평구 응암제1동(1138058000),25118,
서울특별시 은평구 응암제2동(1138059000),26690,
서울특별시 은평구 응암제3동(1138060000),25621,
서울특별시 은평구 역촌동(1138062500),47534,
서울특별시 은평구 신사제1동(1138063100),28031,
서울특별시 은평구 신사제2동(1138063200),21436,
서울특별시 은평구 증산동(1138064000),15780,
서울특별시 은평구 수색동(1138065000),8714,
서울특별시 은평구 진관동(1138069000),57683,
서울특별시 서대문구 (1141000000),312809,
서울특별시 서대문구 천연동(1141052000),18236,
서울특별시 서대문구 북아현동(1141055500),17040,
서울특별시 서대문구 충현동(1141056500),17814,
서울특별시 서대문구 신촌동(1141058500),18851,
서울특별시 서대문구 연희동(1141061500),37805,
서울특별시 서대문구 홍제제1동(1141062000),24570,
서울특별시 서대문구 홍제제3동(1141064000),16045,
서울특별시 서대문구 홍제제2동(1141065500),14386,
서울특별시 서대문구 홍은제1동(1141066000),23049,
서울특별시 서대문구 홍은제2동(1141068500),27322,
서울특별시 서대문구 남가좌제1동(1141069000),16231,
서울특별시 서대문구 남가좌제2동(1141070000),29553,
서울특별시 서대문구 북가좌제1동(1141071000),18760,
서울특별시 서대문구 북가좌제2동(1141072000),33147,
서울특별시 마포구 (1144000000),374426,
서울특별시 마포구 아현동(1144055500),24767,
서울특별시 마포구 공덕동(1144056500),39615,
서울특별시 마포구 도화동(1144058500),22200,
서울특별시 마포구 용강동(1144059000),21871,
서울특별시 마포구 대흥동(1144060000),13737,
서울특별시 마포구 염리동(1144061000),12273,
서울특별시 마포구 신수동(1144063000),23327,
서울특별시 마포구 서강동(1144065500),25049,
서울특별시 마포구 서교동(1144066000),24080,
서울특별시 마포구 합정동(1144068000),18603,
서울특별시 마포구 망원제1동(1144069000),21272,
서울특별시 마포구 망원제2동(1144070000),19152,
서울특별시 마포구 연남동(1144071000),15743,
서울특별시 마포구 성산제1동(1144072000),19733,
서울특별시 마포구 성산제2동(1144073000),41053,
서울특별시 마포구 상암동(1144074000),31951,
서울특별시 양천구 (1147000000),457132,
서울특별시 양천구 목1동(1147051000),31921,
서울특별시 양천구 목2동(1147052000),31033,
서울특별시 양천구 목3동(1147053000),22759,
서울특별시 양천구 목4동(1147054000),26422,
서울특별시 양천구 목5동(1147055000),42716,
서울특별시 양천구 신월1동(1147056000),21193,
서울특별시 양천구 신월2동(1147057000),21637,
서울특별시 양천구 신월3동(1147058000),16295,
서울특별시 양천구 신월4동(1147059000),18737,
서울특별시 양천구 신월5동(1147060000),15246,
서울특별시 양천구 신월6동(1147061000),9119,
서울특별시 양천구 신월7동(1147061100),21185,
서울특별시 양천구 신정1동(1147062000),21175,
서울특별시 양천구 신정2동(1147063000),20380,
서울특별시 양천구 신정3동(1147064000),47446,
서울특별시 양천구 신정4동(1147065000),34259,
서울특별시 양천구 신정6동(1147067000),25244,
서울특별시 양천구 신정7동(1147068000),30365,
서울특별시 강서구 (1150000000),588281,
서울특별시 강서구 염창동(1150051000),42315,
서울특별시 강서구 등촌제1동(1150052000),23445,
서울특별시 강서구 등촌제2동(1150053000),21521,
서울특별시 강서구 등촌제3동(1150053500),32056,
서울특별시 강서구 화곡제1동(1150054000),53226,
서울특별시 강서구 화곡제2동(1150055000),18874,
서울특별시 강서구 화곡제3동(1150056000),22286,
서울특별시 강서구 화곡제4동(1150057000),21531,
서울특별시 강서구 화곡본동(1150059000),35255,
서울특별시 강서구 화곡제6동(1150059100),25046,
서울특별시 강서구 화곡제8동(1150059300),25747,
서울특별시 강서구 가양제1동(1150060300),33717,
서울특별시 강서구 가양제2동(1150060400),14909,
서울특별시 강서구 가양제3동(1150060500),15921,
서울특별시 강서구 발산제1동(1150061100),38215,
서울특별시 강서구 우장산동(1150061500),44266,
서울특별시 강서구 공항동(1150062000),27231,
서울특별시 강서구 방화제1동(1150063000),45135,
서울특별시 강서구 방화제2동(1150064000),23484,
서울특별시 강서구 방화제3동(1150064100),24101,
서울특별시 구로구 (1153000000),405271,
서울특별시 구로구 신도림동(1153051000),36480,
서울특별시 구로구 구로제1동(1153052000),21417,
서울특별시 구로구 구로제2동(1153053000),24918,
서울특별시 구로구 구로제3동(1153054000),24120,
서울특별시 구로구 구로제4동(1153055000),20706,
서울특별시 구로구 구로제5동(1153056000),29724,
서울특별시 구로구 가리봉동(1153059500),9322,
서울특별시 구로구 고척제1동(1153072000),23574,
서울특별시 구로구 고척제2동(1153073000),27951,
서울특별시 구로구 개봉제1동(1153074000),32185,
서울특별시 구로구 개봉제2동(1153075000),32140,
서울특별시 구로구 개봉제3동(1153076000),21393,
서울특별시 구로구 오류제1동(1153077000),22653,
서울특별시 구로구 오류제2동(1153078000),39674,
서울특별시 구로구 수궁동(1153079000),24280,
서울특별시 구로구 항동(1153080000),14734,
서울특별시 금천구 (1154500000),232396,
서울특별시 금천구 가산동(1154551000),21436,
서울특별시 금천구 독산제1동(1154561000),42297,
서울특별시 금천구 독산제2동(1154562000),19249,
서울특별시 금천구 독산제3동(1154563000),24994,
서울특별시 금천구 독산제4동(1154564000),15816,
서울특별시 금천구 시흥제1동(1154567000),33949,
서울특별시 금천구 시흥제2동(1154568000),22237,
서울특별시 금천구 시흥제3동(1154569000),11275,
서울특별시 금천구 시흥제4동(1154570000),21147,
서울특별시 금천구 시흥제5동(1154571000),19996,
서울특별시 영등포구 (1156000000),372225,
서울특별시 영등포구 영등포본동(1156051500),21753,
서울특별시 영등포구 영등포동(1156053500),27076,
서울특별시 영등포구 여의동(1156054000),34360,
서울특별시 영등포구 당산제1동(1156055000),20935,
서울특별시 영등포구 당산제2동(1156056000),35875,
서울특별시 영등포구 도림동(1156058500),18462,
서울특별시 영등포구 문래동(1156060500),32058,
서울특별시 영등포구 양평제1동(1156061000),17713,
서울특별시 영등포구 양평제2동(1156062000),22451,
서울특별시 영등포구 신길제1동(1156063000),17582,
서울특별시 영등포구 신길제3동(1156065000),17158,
서울특별시 영등포구 신길제4동(1156066000),8863,
서울특별시 영등포구 신길제5동(1156067000),10965,
서울특별시 영등포구 신길제6동(1156068000),17967,
서울특별시 영등포구 신길제7동(1156069000),20367,
서울특별시 영등포구 대림제1동(1156070000),12771,
서울특별시 영등포구 대림제2동(1156071000),12510,
서울특별시 영등포구 대림제3동(1156072000),23359,
서울특별시 동작구 (1159000000),394988,
서울특별시 동작구 노량진제1동(1159051000),32204,
서울특별시 동작구 노량진제2동(1159052000),12674,
서울특별시 동작구 상도제1동(1159053000),45690,
서울특별시 동작구 상도제2동(1159054000),28566,
서울특별시 동작구 상도제3동(1159055000),25473,
서울특별시 동작구 상도제4동(1159056000),29322,
서울특별시 동작구 흑석동(1159060500),32737,
서울특별시 동작구 사당제1동(1159062000),23313,
서울특별시 동작구 사당제2동(1159063000),27685,
서울특별시 동작구 사당제3동(1159064000),25439,
서울특별시 동작구 사당제4동(1159065000),14628,
서울특별시 동작구 사당제5동(1159065100),13835,
서울특별시 동작구 대방동(1159066000),39393,
서울특별시 동작구 신대방제1동(1159067000),23693,
서울특별시 동작구 신대방제2동(1159068000),20336,
서울특별시 관악구 (1162000000),498978,
서울특별시 관악구 보라매동(1162052500),24999,
서울특별시 관악구 청림동(1162054500),15936,
서울특별시 관악구 성현동(1162056500),30528,
서울특별시 관악구 행운동(1162057500),29562,
서울특별시 관악구 낙성대동(1162058500),16977,
서울특별시 관악구 청룡동(1162059500),33587,
